Номер_сессии,Сессия,Испытуемый,Видео,Формат_экрана,MOS,Таймкод,Разрешение,Масштаб_%,Битрейт_кбит,FPS,Дата_время,Статус
2,20260603 131950,5,4,4K,2,02:07,294×154,7.2,11770.0,60/1,2026-06-03 13:37:41,OK
2,20260603 131950,5,1,720,5,00:05,3686×1944,90.0,30431.0,60/1,2026-06-03 13:51:29,OK
2,20260603 131950,5,1,720,4,01:03,1156×610,28.2,10810.0,60/1,2026-06-03 13:51:29,OK
2,20260603 131950,5,1,720,3,02:03,326×172,8.0,19666.0,60/1,2026-06-03 13:51:29,OK
2,20260603 131950,5,1,720,2,02:21,214×112,5.2,11782.0,60/1,2026-06-03 13:51:29,OK
2,20260603 131950,5,2,720,5,00:02,4096×2160,100.0,11447.0,60/1,2026-06-03 13:54:08,OK
2,20260603 131950,5,2,720,4,01:33,614×324,15.0,23090.0,60/1,2026-06-03 13:54:08,OK
2,20260603 131950,5,2,720,3,01:41,496×262,12.2,10850.0,60/1,2026-06-03 13:54:08,OK
2,20260603 131950,5,2,720,2,02:10,264×138,6.5,11925.0,60/1,2026-06-03 13:54:08,OK
2,20260603 131950,5,3,720,5,00:00,4096×2160,100.0,16232.0,60/1,2026-06-03 13:56:53,OK
2,20260603 131950,5,3,720,4,01:22,758×400,18.5,18989.0,60/1,2026-06-03 13:56:53,OK
2,20260603 131950,5,3,720,3,01:43,496×262,12.2,9763.0,60/1,2026-06-03 13:56:53,OK
2,20260603 131950,5,3,720,2,02:22,214×112,5.2,10297.0,60/1,2026-06-03 13:56:53,OK
2,20260603 131950,5,4,720,5,00:00,4096×2160,100.0,12627.0,60/1,2026-06-03 13:59:30,OK
2,20260603 131950,5,4,720,4,01:36,552×290,13.5,9535.0,60/1,2026-06-03 13:59:30,OK
2,20260603 131950,5,4,720,3,02:01,326×172,8.0,10546.0,60/1,2026-06-03 13:59:30,OK
2,20260603 131950,5,4,720,2,02:22,214×112,5.2,15853.0,60/1,2026-06-03 13:59:30,OK
2,20260603 131950,6,1,1080,5,01:02,1156×610,28.2,10810.0,60/1,2026-06-03 13:40:40,"Исключено: MOS=5 нажат поздно (01:02, 28.2%)"
2,20260603 131950,6,1,1080,4,02:01,326×172,8.0,19666.0,60/1,2026-06-03 13:40:40,OK
2,20260603 131950,6,1,1080,3,02:14,264×138,6.5,26487.0,60/1,2026-06-03 13:40:40,OK
2,20260603 131950,6,1,1080,2,02:21,214×112,5.2,11782.0,60/1,2026-06-03 13:40:40,OK
2,20260603 131950,6,2,1080,5,00:03,4096×2160,100.0,11447.0,60/1,2026-06-03 13:43:20,OK
2,20260603 131950,6,2,1080,4,00:59,1284×676,31.4,11350.0,60/1,2026-06-03 13:43:20,OK
2,20260603 131950,6,2,1080,3,01:44,496×262,12.2,10850.0,60/1,2026-06-03 13:43:20,OK
2,20260603 131950,6,2,1080,2,02:07,294×154,7.2,11643.0,60/1,2026-06-03 13:43:20,OK
2,20260603 131950,6,3,1080,5,00:04,4096×2160,100.0,16232.0,60/1,2026-06-03 13:45:59,OK
2,20260603 131950,6,3,1080,4,01:22,758×400,18.5,18989.0,60/1,2026-06-03 13:45:59,OK
2,20260603 131950,6,3,1080,3,02:01,326×172,8.0,21322.0,60/1,2026-06-03 13:45:59,OK
2,20260603 131950,6,3,1080,2,02:22,214×112,5.2,10297.0,60/1,2026-06-03 13:45:59,OK
